Protein,Localization,Length,Mass,Hydrophobic,Positive Charged,Negative Charged,Polar,Hydropathicity
BTBD9,Secretory,612,69188,270,77,77,188,-138.1
BTN2A1,Secretory,527,59633,254,77,71,125,-99.2
C11orf52,Secretory,123,13921,42,23,10,48,-134.8
C16orf74,Secretory,76,8118,37,6,13,20,-17.1
C18orf32,Secretory,76,8669,38,12,7,19,-10.5
C19orf25,Secretory,118,12878,64,14,17,23,-60.8
C1orf159,Secretory,380,40283,211,45,20,104,-79.3
C1orf210,Secretory,113,12024,61,14,14,24,-29.8
C1orf43,Secretory,253,28779,112,42,25,74,-110.1
C1QL1,Secretory,258,26453,148,23,24,63,-83.6
C1QTNF6,Secretory,278,30861,142,35,32,69,-78.1
C2CD2,Secretory,696,75533,336,92,81,187,-199.2
C2CD2L,Secretory,706,76181,338,90,80,198,-282.5
C4orf19,Secretory,314,33742,135,32,57,90,-242.3
C4orf3,Secretory,66,7604,38,8,9,11,-6.6
C6orf120,Secretory,191,20772,101,20,27,43,-16.7
C6orf141,Secretory,244,26754,118,42,35,49,-220.1
C6orf89,Secretory,347,39870,178,49,40,80,-76.3
CA12,Secretory,354,39451,168,44,31,111,-76.4
CACHD1,Secretory,1274,142290,571,165,143,395,-324.8
CACNA2D2,Secretory,1150,129817,537,138,140,335,-430.9
CACNG4,Secretory,327,36579,154,47,30,96,-57.3
CADM1,Secretory,442,48509,210,44,53,135,-63.4
CADM4,Secretory,388,42785,188,50,47,103,-94.4
CALCR,Secretory,474,55345,235,59,36,144,28.7
CALHM2,Secretory,323,36175,171,37,28,87,37.9
CALR3,Secretory,384,44996,148,69,61,106,-323.9
CAMLG,Secretory,296,32953,136,42,37,81,-104.3
CANX,Secretory,592,67568,252,84,137,119,-517.4
CAPN5,Secretory,640,73169,274,106,82,178,-333.3
CAT,Secretory,527,59756,246,81,61,139,-308.6
CC2D2A,Secretory,1620,186185,713,259,237,411,-1025.9
CCDC115,Secretory,180,19761,93,27,24,36,-80.2
CCDC134,Secretory,229,26561,108,38,30,53,-87
CCDC15,Secretory,951,110484,377,159,149,266,-877.4
CCDC167,Secretory,97,11459,38,20,14,25,-61.3
CCDC34,Secretory,373,43225,128,78,71,96,-488.2
CCDC47,Secretory,483,55874,193,73,98,119,-371.5
CCNY,Secretory,341,39337,136,54,46,105,-166.7
CCNYL1,Secretory,359,40705,156,52,50,101,-108.3
CCPG1,Secretory,757,87340,259,131,130,237,-714.5
CCSER1,Secretory,900,99510,343,141,110,306,-630.2
CD109,Secretory,1445,161689,662,154,155,474,-202.3
CD151,Secretory,253,28295,124,28,21,80,83.4
CD164,Secretory,197,20917,81,16,10,90,8.2
CD164L2,Secretory,174,18403,93,21,15,45,19.2
CD276,Secretory,534,57235,270,43,56,165,-38.5
CD36,Secretory,472,53053,234,51,44,143,6.9
CD46,Secretory,392,43747,186,48,44,114,-90.8
CD47,Secretory,323,35214,184,28,25,86,193.6
CD55,Secretory,381,41400,168,40,33,140,-116.5
CD58,Secretory,250,28147,109,27,23,91,-12.5
CD81,Secretory,236,25809,134,17,19,66,162.7
CD83,Secretory,205,23042,95,29,21,60,-58.6
CD9,Secretory,228,25416,129,24,21,54,111.1
CD99,Secretory,185,18848,106,20,29,30,-80.7
CD99L2,Secretory,262,27986,124,33,39,66,-170.8
CDC42EP1,Secretory,391,40295,214,46,36,95,-193.5
CDC6,Secretory,560,62720,252,100,58,150,-214.4
CDCA3,Secretory,268,28998,121,36,34,77,-240.5
CDH1,Secretory,882,97456,414,87,128,253,-309.9
CDH3,Secretory,829,91418,393,91,131,214,-334.8
CDIPT,Secretory,213,23539,126,22,13,52,130.5
CDK5RAP3,Secretory,506,56921,233,57,82,134,-150.9
CDKAL1,Secretory,579,65111,265,86,72,156,-230.6
CDON,Secretory,1287,139147,607,144,122,414,-334.1
CDS1,Secretory,461,53304,239,55,39,128,84.4
CDS2,Secretory,445,51418,234,48,38,125,122.2
CEACAM5,Secretory,702,76796,304,53,54,291,-230.1
CEACAM6,Secretory,344,37237,165,24,24,131,-61.2
CELSR1,Secretory,3014,329486,1468,349,344,853,-734.8
CELSR2,Secretory,2923,317453,1421,308,341,853,-791.4
CELSR3,Secretory,3312,358185,1657,403,345,907,-898.4
CEP120,Secretory,986,112640,411,155,149,271,-621.1
CEP164,Secretory,1460,164314,567,242,265,386,-1391.9
CEP350,Secretory,3117,350930,1107,544,517,949,-2920.2
CEP57,Secretory,500,57089,182,97,68,153,-451
CEP68,Secretory,757,81102,346,85,99,227,-444.8
CEP70,Secretory,597,69752,227,95,98,177,-405.9
CEPT1,Secretory,416,46554,222,47,22,125,177.5
CERCAM,Secretory,595,67592,296,78,75,146,-178.2
CERK,Secretory,537,59977,240,89,58,150,-166.6
CERS1,Secretory,350,39536,195,45,24,86,74.7
CERS2,Secretory,380,44876,189,52,37,102,1
CERS5,Secretory,392,45752,190,47,35,120,28.6
CERS6,Secretory,384,44890,183,45,36,120,0.3
CES2,Secretory,559,61807,303,61,57,138,-48.8
CFHR2,Secretory,270,30651,106,30,28,106,-120
CGREF1,Secretory,318,33456,174,27,55,62,-185.6
CGRRF1,Secretory,332,38242,135,36,42,119,-66.3
CHIC2,Secretory,165,19254,68,26,24,47,-48.7
CHID1,Secretory,393,44941,185,65,45,98,-100.2
CHMP6,Secretory,201,23485,83,33,37,48,-160.6
CHP1,Secretory,195,22456,84,31,37,43,-122.9
CHPF2,Secretory,772,85948,407,109,87,169,-202.2
CHPT1,Secretory,406,45097,231,35,26,114,229.6
CHRNA5,Secretory,468,53054,231,57,50,130,51.3
CHST7,Secretory,486,54266,257,83,56,90,-148.1
CIB1,Secretory,191,21703,83,24,34,50,-60.7
CILP2,Secretory,1156,126291,590,167,129,270,-455.1
CISD2,Secretory,135,15278,68,24,12,31,-8.5
CKAP4,Secretory,602,66022,254,94,93,161,-423
CLCC1,Secretory,551,62023,254,76,80,141,-224.9
CLDN12,Secretory,244,27110,130,23,11,80,125.8
CLDN23,Secretory,292,31915,157,31,26,78,-11.4
CLDN3,Secretory,220,23319,129,15,12,64,133.1
CLDN9,Secretory,217,22848,136,14,13,54,178.7
CLDND1,Secretory,253,28603,124,24,24,81,59.6
CLGN,Secretory,610,70039,261,87,132,130,-447.6
CLINT1,Secretory,625,68259,275,74,71,205,-404
CLMN,Secretory,1002,111651,411,138,176,277,-661.8
CLN5,Secretory,358,41497,175,45,38,100,-97.6
CLN8,Secretory,286,32787,152,32,16,86,100.6
CLPTM1,Secretory,669,76097,327,76,71,195,-123.7
CLPTM1L,Secretory,538,62229,265,71,51,151,27.2
CLSTN2,Secretory,955,107006,427,126,136,266,-364.7
CLSTN3,Secretory,956,106098,439,120,128,269,-308.2
CMTM6,Secretory,183,20419,101,16,18,48,83.9
CNIH1,Secretory,144,16699,86,9,9,40,115.3
CNIH4,Secretory,139,16093,79,13,10,37,116
CNKSR3,Secretory,555,61904,242,83,62,168,-290.3
CNNM1,Secretory,951,104351,474,121,116,240,-230.5
CNNM2,Secretory,875,96623,435,112,106,222,-124.9
CNNM3,Secretory,707,76119,398,84,82,143,26.3
CNNM4,Secretory,775,86607,383,94,92,206,-36.9
CNST,Secretory,725,79597,287,79,138,221,-462.7
COL12A1,Secretory,3063,333147,1460,344,366,893,-1307.8
COL18A1,Secretory,1754,178188,1074,169,164,347,-818.7
COL2A1,Secretory,1487,141785,979,147,141,220,-1194.8
COL5A1,Secretory,1838,183560,1121,185,225,307,-1604.7
COL6A1,Secretory,1028,108529,544,128,139,217,-539.9
COL6A2,Secretory,1019,108579,524,141,136,218,-636
COLGALT1,Secretory,622,71636,298,100,83,141,-256.9
COLGALT2,Secretory,626,72924,280,93,89,164,-295.5
COQ3,Secretory,369,41054,174,46,37,112,-45.2
COQ5,Secretory,327,37140,155,47,41,84,-99
COQ7,Secretory,217,24277,111,36,26,44,-40.6
CORO2A,Secretory,525,59763,235,79,61,150,-226.3
CPM,Secretory,443,50514,210,57,43,133,-128.9
CREB3,Secretory,371,41379,170,42,55,104,-122.6
CREB3L2,Secretory,520,57415,228,67,72,153,-256.2
CREB3L4,Secretory,395,43432,187,50,54,104,-166.9
CREG1,Secretory,220,24075,116,26,19,59,-15.7
CRELD1,Secretory,420,45440,195,42,56,127,-110.2
CRIM1,Secretory,1036,113738,426,112,128,370,-239.5
CRISPLD2,Secretory,497,55920,205,72,50,170,-238.7
CRLF1,Secretory,422,46302,202,62,36,122,-165.7
CROT,Secretory,612,70178,278,92,74,168,-220.1
CRTAP,Secretory,401,46562,182,59,60,100,-171.9
CSNK1A1,Secretory,337,38915,148,59,33,97,-174.4
CSNK1E,Secretory,416,47315,188,76,45,107,-237.6
CSNK1G2,Secretory,415,47457,183,77,52,103,-261.4
CSNK1G3,Secretory,447,51389,188,86,55,118,-334.2
CSPG5,Secretory,566,60016,283,49,88,146,-266.9
CTDNEP1,Secretory,244,28377,118,43,22,61,-4.9
CTDSP1,Secretory,261,29203,129,38,37,57,-55.2
CTDSP2,Secretory,271,30664,127,35,37,72,-37.9
CTDSPL,Secretory,276,31129,136,36,38,66,-53
CTNNA1,Secretory,906,100071,418,135,132,221,-333
CTNNAL1,Secretory,734,81896,324,108,99,203,-178.7
CTNNB1,Secretory,781,85497,394,92,90,205,-136.7
CTSA,Secretory,480,54466,230,49,44,157,-116.5
CTSF,Secretory,484,53366,235,59,48,142,-137.4
CTSV,Secretory,334,37329,152,47,32,103,-164.4
CXADR,Secretory,365,40030,167,47,41,110,-98.9
CXCL16,Secretory,254,27579,120,33,17,84,-57
CXCR4,Secretory,352,39746,181,42,27,102,140.6
CYB5A,Secretory,134,15330,55,19,24,36,-76
CYB5B,Secretory,150,16695,62,19,24,45,-73.2
CYB5D2,Secretory,264,28690,137,35,25,67,-81.7
CYB5R3,Secretory,301,34235,159,45,34,63,-54.1
CYBA,Secretory,195,21013,117,21,13,44,6
CYP1A1,Secretory,512,58165,255,69,49,139,-43
CYP1B1,Secretory,543,60846,283,74,50,136,-72.6
CYP20A1,Secretory,462,52432,217,59,56,130,-62.6
CYP2J2,Secretory,502,57611,248,72,51,131,-112.9
CYP2R1,Secretory,501,57359,262,68,53,118,-47.1
CYP2S1,Secretory,504,55817,281,61,45,117,-12.3
CYP2U1,Secretory,544,61987,285,74,55,130,-42.3
CYP4F11,Secretory,524,60146,262,71,61,130,-70
CYP51A1,Secretory,509,57278,259,70,52,128,-67.4
CYSTM1,Secretory,97,10631,51,3,7,36,-76.1
DAAM1,Secretory,1078,123473,473,184,164,257,-678.9
DAD1,Secretory,113,12497,68,7,6,32,93.2
DAGLA,Secretory,1042,114952,522,125,116,279,-63.9
DAP3,Secretory,398,45566,181,68,43,106,-176.6
DBN1,Secretory,649,71429,292,71,134,152,-522.3
DCBLD1,Secretory,715,77920,320,96,73,226,-342.8
DCBLD2,Secretory,775,85035,368,88,74,245,-244
DCUN1D3,Secretory,304,34291,126,43,51,84,-216.8
DDOST,Secretory,456,50801,233,54,49,120,-25.8
DDRGK1,Secretory,314,35611,140,53,63,58,-251.2
DDX28,Secretory,540,59581,286,85,49,120,-66.3
DECR2,Secretory,292,30778,172,36,21,63,50.1
DEGS1,Secretory,323,37866,169,45,30,79,12.1
DEGS2,Secretory,323,37197,175,51,23,74,27.2
DENND2C,Secretory,928,106865,382,157,123,266,-564.3
DENND2D,Secretory,471,53672,232,68,56,115,-106.5
DEPDC1,Secretory,811,92960,339,129,93,250,-427.9
DEPDC1B,Secretory,529,61771,244,92,65,128,-208.3
DERL1,Secretory,251,28801,153,21,12,65,96.8
DERL2,Secretory,239,27567,150,18,16,55,115
DGAT1,Secretory,488,55278,269,61,35,123,76.1
DGAT2,Secretory,388,43831,195,53,30,110,-13.9
DGCR2,Secretory,550,60811,259,67,74,150,-234.1
DGKE,Secretory,567,63927,262,81,63,161,-128.1
DHCR24,Secretory,516,60101,254,79,54,129,-31.7
DHCR7,Secretory,475,54489,251,56,28,140,110
DHDDS,Secretory,333,38657,146,55,42,90,-130.5
DHRS1,Secretory,313,33909,161,35,27,90,28.3
DHRS13,Secretory,377,40849,206,50,39,82,-35.4
DHRS3,Secretory,302,33548,161,41,27,73,40.1
DHRS7,Secretory,339,38299,165,44,34,96,19.5
DHRS7B,Secretory,325,35119,177,44,25,79,66.9
DHRSX,Secretory,330,36443,167,48,28,87,-6.1
DHX30,Secretory,1194,133938,573,195,142,284,-375.5
DISP1,Secretory,1524,170934,702,180,136,506,-144.1
DLAT,Secretory,647,68997,357,73,64,153,-59.1
DNAJB12,Secretory,375,41860,162,64,45,104,-281.2
DNAJB14,Secretory,379,42516,154,66,49,110,-320
DNAJB6,Secretory,326,36087,148,60,47,71,-308.3
DNAJB9,Secretory,223,25518,87,38,27,71,-177.4
DNAJC1,Secretory,554,63883,223,100,87,144,-451.5
DNAJC14,Secretory,702,78569,327,113,87,175,-459.1
DNAJC16,Secretory,782,90591,345,119,100,218,-271.2
DNAJC25,Secretory,360,42404,152,67,48,93,-227.8
DNAJC3,Secretory,504,57580,212,88,86,118,-342.2
DNASE1L1,Secretory,302,33893,147,35,35,85,13.9
DOCK10,Secretory,2186,249531,915,329,277,665,-964.6
DOCK11,Secretory,2073,237671,895,324,255,599,-735.7
DOCK6,Secretory,2047,229558,990,306,264,487,-574.3
DOCK7,Secretory,2140,242561,957,308,267,608,-758.3
DOCK8,Secretory,2099,238529,946,302,263,588,-625.9
DOCK9,Secretory,2069,236446,909,319,254,587,-722.5
DOLPP1,Secretory,238,27031,134,26,12,66,91.8
DPAGT1,Secretory,408,46090,247,39,24,98,295.4
DPM1,Secretory,260,29634,124,44,30,62,-76
DPM3,Secretory,92,10094,51,8,8,25,30.5
DPP4,Secretory,766,88279,318,89,86,273,-260.1
DPY19L1,Secretory,675,77319,364,87,50,174,222.6
DPY19L3,Secretory,716,83197,360,89,61,206,124.6
DPY19L4,Secretory,723,83756,367,81,64,211,155.1
DSC1,Secretory,894,99987,382,114,123,275,-394.9
DSCAM,Secretory,2012,222260,899,240,204,669,-658.5
DUSP22,Secretory,184,20910,86,31,21,46,-57.3
EBP,Secretory,230,26353,126,27,16,61,79.8
ECT2,Secretory,914,103505,395,146,123,250,-370.9
EDEM1,Secretory,657,73768,330,81,70,176,-193.3
EDEM2,Secretory,578,64753,296,65,72,145,-76.6
EDEM3,Secretory,932,104664,426,112,144,250,-381.6
EFHD1,Secretory,239,26928,118,41,45,35,-145.8
EFNA1,Secretory,205,23787,88,34,25,58,-97.9
EFNA3,Secretory,238,26350,122,31,15,70,-54.6
EFNA5,Secretory,228,26297,105,32,29,62,-63.1
EFNB1,Secretory,346,38007,168,48,32,98,-110.4
EFNB2,Secretory,333,36923,148,45,30,110,-116.6
EFNB3,Secretory,340,35835,198,44,30,68,-129.3
EFR3A,Secretory,821,92924,395,121,106,199,-129.4
EFR3B,Secretory,817,92487,385,117,103,212,-138.3
EGFL7,Secretory,273,29618,125,38,24,86,-97
EGFR,Secretory,1210,134277,543,157,138,372,-382.4
EHHADH,Secretory,723,79495,375,105,71,172,-128.5
EI24,Secretory,340,38965,182,43,21,94,100
EIF2AK3,Secretory,1116,125216,490,149,161,316,-503
ELFN1,Secretory,828,90477,405,110,78,235,-279.4
ELFN2,Secretory,820,89687,385,110,83,242,-221.8
ELMOD2,Secretory,293,34961,128,47,35,83,-89.6
ELOVL1,Secretory,279,32663,153,32,10,84,98.1
ELOVL2,Secretory,296,34585,150,35,17,94,50.4
ELOVL5,Secretory,299,35293,144,39,14,102,28.8
ELOVL6,Secretory,265,31376,135,35,14,81,57.5
EMB,Secretory,327,36881,138,41,38,110,-128.5
EMC1,Secretory,993,111759,477,127,101,288,-105.8
EMC10,Secretory,262,27347,147,29,28,58,-40.4
EMC2,Secretory,297,34834,119,49,46,83,-208
EMC3,Secretory,261,29952,133,30,28,70,-13.3
EMC4,Secretory,183,20087,105,18,14,46,21.3
EMC6,Secretory,110,12017,70,12,3,25,80.5
EMC7,Secretory,242,26471,130,31,24,57,-18.8
EMC8,Secretory,210,23773,94,34,28,54,-69.7
EMD,Secretory,254,28994,97,33,35,89,-181.9
EME2,Secretory,379,41178,200,47,46,86,-88.8
EMP2,Secretory,167,19199,88,15,12,52,110.1
ENKD1,Secretory,346,38759,159,69,43,75,-312.8
ENPP1,Secretory,925,104924,401,134,108,282,-421.8
ENTPD2,Secretory,495,53665,268,49,33,145,43.6
ENTPD3,Secretory,529,59105,251,54,47,177,-43.9
ENTPD5,Secretory,428,47517,214,50,46,118,-27.6
ENTPD7,Secretory,604,68960,303,81,62,158,-61.8
ENTPD8,Secretory,495,53904,268,36,40,151,78.5
EOGT,Secretory,527,62011,222,85,65,155,-217.9
EPB41L4A,Secretory,686,79059,240,135,86,225,-690.4
EPB41L4B,Secretory,900,99712,419,147,92,242,-454.3
EPB41L5,Secretory,733,81856,328,107,97,201,-302.9
EPCAM,Secretory,314,34932,142,43,39,90,-64.7
EPHA1,Secretory,976,108127,478,123,108,267,-309.8
EPHA2,Secretory,976,108266,468,120,115,273,-244
EPHA3,Secretory,983,110131,436,126,115,306,-286.6
EPHA6,Secretory,1036,116379,498,139,118,281,-199.6
EPHA7,Secretory,998,112097,454,120,122,302,-283.7
EPHB2,Secretory,1055,117493,484,126,118,327,-309.6
EPHB4,Secretory,987,108270,488,124,110,265,-232.5
EPHX1,Secretory,455,52949,216,67,53,119,-118.7
EPHX4,Secretory,362,42324,175,55,34,98,-15.2
ERBB2,Secretory,1255,137910,616,145,142,352,-310.6
ERBB3,Secretory,1342,148098,617,178,154,393,-519.9
ERBB4,Secretory,1308,146808,583,166,153,406,-502.4
ERGIC1,Secretory,290,32592,138,38,29,85,-32.7
ERLEC1,Secretory,483,54858,200,73,67,143,-268.9
ERLIN1,Secretory,348,39171,162,53,44,89,-94.4
ERLIN2,Secretory,339,37840,163,45,47,84,-55.1
ERMP1,Secretory,904,100231,478,106,74,246,132.7
ERN1,Secretory,977,109735,449,135,121,272,-336.3
ERP44,Secretory,406,46971,183,58,65,100,-162.8
ERV3-1,Secretory,604,67942,271,63,52,218,-151.7
ESAM,Secretory,390,41176,213,40,23,114,-15.7
ESYT1,Secretory,1104,122856,546,145,146,267,-293.3
ESYT2,Secretory,921,102357,451,143,101,226,-312.5
EVA1B,Secretory,165,18374,81,19,28,37,-82.8
EXT1,Secretory,746,86255,329,117,72,228,-276.9
EXT2,Secretory,718,82255,340,93,86,199,-145.3
F11R,Secretory,299,32583,139,32,28,100,-27.5
F13A1,Secretory,732,83268,329,97,96,210,-286.5
F2RL1,Secretory,397,44126,213,47,15,122,221.4
FAAH,Secretory,579,63066,308,64,54,153,-10.8
FADS1,Secretory,444,51964,225,71,34,114,-31.4
FADS3,Secretory,445,51145,238,65,39,103,-23.3
FAF2,Secretory,445,52623,184,70,73,118,-334.1
FAM161A,Secretory,660,76752,234,140,118,168,-708
FAM171A2,Secretory,826,87435,452,99,80,195,-251.6
FAM171B,Secretory,826,92181,361,117,87,261,-363.5
FAM193B,Secretory,902,96543,401,137,103,261,-812.6
FAM20B,Secretory,409,46432,198,62,52,97,-78.6
FAM219B,Secretory,198,21103,88,28,23,59,-137.6
FAM83G,Secretory,823,90835,395,122,113,193,-573.3
FAM8A1,Secretory,413,44123,237,45,37,94,-27
FANCM,Secretory,2048,232191,793,297,287,671,-1195.4
FAR1,Secretory,515,59357,246,72,48,149,-78.8
FARP1,Secretory,1045,118633,463,175,130,277,-557.4
FAS,Secretory,335,37732,121,59,43,112,-185.9
FASTKD3,Secretory,662,75689,313,101,66,182,-57.8
FAT1,Secretory,4588,506273,2077,516,642,1353,-1358.9
FAT4,Secretory,4981,542687,2307,481,617,1576,-1309.7
FBXL20,Secretory,436,48423,193,61,47,135,-3.1
FBXO27,Secretory,283,31623,140,42,26,75,-58
FDFT1,Secretory,417,48115,188,55,50,124,-93.2
FGFR1,Secretory,822,91868,372,111,105,234,-301.3
FGFR2,Secretory,821,92025,375,106,106,234,-286.2
FGFR3,Secretory,806,87710,404,101,100,201,-195.2
FGFR4,Secretory,802,87954,411,102,87,202,-143.3
FHDC1,Secretory,1143,124762,511,183,137,312,-867.1
FIBCD1,Secretory,461,50744,215,62,55,129,-201.2
FICD,Secretory,458,51778,227,69,52,110,-55.2
FIGN,Secretory,759,82146,355,77,64,263,-281.3
FITM2,Secretory,262,29855,131,33,15,83,73.6
FKBP10,Secretory,582,64245,302,73,75,132,-159.7
FKBP11,Secretory,201,22180,112,33,20,36,11.9
FKBP8,Secretory,412,44562,215,47,64,86,-112.2
FLOT1,Secretory,427,47355,204,65,58,100,-144.5
FLRT1,Secretory,646,71358,308,76,71,191,-122.5
FLRT3,Secretory,649,73004,291,80,65,213,-174.7
FLVCR1,Secretory,555,59863,328,37,37,153,246.5
FLVCR2,Secretory,526,57241,299,40,37,150,244.8
FMNL1,Secretory,1100,121854,557,144,149,250,-497.5
FMNL2,Secretory,1086,123321,506,173,149,258,-538.7
FN1,Secretory,2477,272320,1041,256,271,909,-1272.9
FNDC3A,Secretory,1198,131852,541,142,129,386,-514.2
FNDC3B,Secretory,1204,132888,545,139,136,384,-491.8
FOXRED2,Secretory,684,77791,329,99,74,182,-219.9
FRAS1,Secretory,4008,443214,1752,484,499,1273,-1184.3
FREM2,Secretory,3169,351167,1535,355,434,845,-715.6
FRMD3,Secretory,597,68772,265,94,86,152,-217.3
FRMD5,Secretory,570,65065,254,95,69,152,-170.6
FRMD8,Secretory,464,51218,230,66,62,106,-157.1
FRS2,Secretory,508,57029,197,72,71,168,-447.1
FUT11,Secretory,492,55816,240,67,65,120,-211.2
FYN,Secretory,537,60762,240,75,68,154,-262.7
FZD1,Secretory,647,71158,349,69,51,178,18.7
FZD2,Secretory,565,63554,302,66,42,155,79.8
FZD3,Secretory,666,76263,329,84,61,192,32.5
FZD4,Secretory,537,59881,283,55,46,153,132.7
FZD5,Secretory,585,64507,317,66,39,163,108.5
FZD6,Secretory,706,79292,338,93,67,208,0.8
FZD7,Secretory,574,63620,320,61,44,149,128.5
FZD8,Secretory,694,73300,400,69,47,178,32.3
G6PC3,Secretory,346,38735,203,30,17,96,178.9
GADD45GIP1,Secretory,222,25384,99,43,30,50,-228.3
GAL,Secretory,123,13302,64,18,15,26,-25.5
GALC,Secretory,685,77063,331,75,66,213,-111.7
GALNT12,Secretory,581,66938,268,93,81,139,-279.9
GALNT18,Secretory,607,69561,271,86,79,171,-205.7
GAS2L3,Secretory,694,75214,309,115,59,211,-395.3
GBA2,Secretory,927,104649,439,104,103,281,-334.8
GBP5,Secretory,586,66617,256,78,82,170,-263.8
GCC2,Secretory,1684,195910,573,283,334,494,-1513.1
GDAP2,Secretory,497,56225,224,68,69,136,-169.5
GDE1,Secretory,331,37718,160,46,38,87,-33.9
GDPD1,Secretory,314,36167,152,48,34,80,-30.4
GDPD3,Secretory,318,36596,158,47,36,77,-33.1
GFRA1,Secretory,465,51456,188,59,46,172,-125.6
GFRA2,Secretory,464,51544,190,60,50,164,-164.9
GGCX,Secretory,758,87561,368,95,73,222,-118.2
GGT7,Secretory,662,70467,364,64,76,158,-15.6
GHDC,Secretory,530,57523,288,64,50,128,-52.1
GK5,Secretory,529,59156,252,60,54,163,-38.4
GLIPR2,Secretory,154,17218,64,26,14,50,-121.4
GNA11,Secretory,359,42123,154,54,56,95,-124.9
GNA12,Secretory,381,44279,180,74,49,78,-137.7
GNA13,Secretory,377,44050,165,63,53,96,-160.5
GNA14,Secretory,355,41571,148,54,54,99,-140.2
GNAI1,Secretory,354,40361,153,54,54,93,-116
GNAI2,Secretory,355,40451,150,53,56,96,-129.1
GNAI3,Secretory,354,40532,148,53,55,98,-128.1
GNAO1,Secretory,354,40051,153,50,53,98,-113.6
GNAQ,Secretory,359,42142,152,55,57,95,-158
GNAS,Secretory,245,28029,85,47,50,63,-341.8
GNAS,Secretory,394,45665,165,61,62,106,-235.3
GNAS,Secretory,626,67948,314,97,36,179,-464.2
GNAS,Secretory,1037,111025,545,122,150,220,-622.1
GNAZ,Secretory,355,40924,151,55,48,101,-128
GNB1,Secretory,340,37377,146,40,39,115,-78.6
GNB2,Secretory,340,37331,153,40,39,108,-60.2
GNB4,Secretory,340,37567,145,39,38,118,-76
GNG10,Secretory,68,7205,36,7,6,19,1.6
GNG12,Secretory,72,8006,29,12,8,23,-28.4
GNG13,Secretory,67,7949,30,10,12,15,-43.5
GNG4,Secretory,75,8389,35,11,10,19,-17.9
GNG5,Secretory,68,7318,33,9,3,23,-6.7
GNG7,Secretory,68,7522,33,11,8,16,-17.7
GNL3L,Secretory,582,65573,253,103,79,147,-332.7
GNPAT,Secretory,680,77188,337,86,81,176,30.3
GNPTG,Secretory,305,33974,143,45,36,81,-149.3
GOLGA1,Secretory,767,88184,296,120,135,216,-650.8
GOLGA7,Secretory,137,15824,57,19,18,43,-71.4
GOLGA7B,Secretory,167,18335,73,21,21,52,-56.5
GOLPH3,Secretory,298,33811,127,49,47,75,-157.4
GORASP1,Secretory,440,46482,222,34,61,123,-184.8
GPAA1,Secretory,621,67623,374,61,42,144,246
GPC1,Secretory,558,61680,265,76,67,150,-192.8
GPC4,Secretory,556,62412,251,74,68,163,-183.3
GPC6,Secretory,555,62736,250,67,73,165,-190.9
GPER1,Secretory,375,42248,208,44,25,98,168.2
GPLD1,Secretory,840,92336,418,96,85,241,-109.6
GPR143,Secretory,404,43878,226,37,27,114,133.9
GPR180,Secretory,440,49395,220,49,31,140,113.9
GPR19,Secretory,415,47687,197,53,23,142,62.5
GPR37,Secretory,613,67114,315,69,50,179,37
GPR39,Secretory,453,51329,218,59,28,148,58.9
GPR68,Secretory,365,41077,188,42,26,109,107.3
GPRC5B,Secretory,403,44795,238,41,29,95,202.7
GPX8,Secretory,209,23881,106,36,23,44,-28.5
GRAMD1A,Secretory,724,80680,319,99,87,219,-318.5
GRAMD4,Secretory,578,66408,263,91,75,149,-249.6
GRK6,Secretory,576,65991,261,96,79,140,-288.9
GRN,Secretory,593,63544,241,76,56,220,-136.7
GRSF1,Secretory,480,53126,237,67,64,112,-157.2
GRTP1,Secretory,336,38554,167,49,36,84,-46.7
GSTK1,Secretory,226,25497,121,32,23,50,-30.5
GTPBP10,Secretory,387,42933,193,64,43,87,-93.7
GTPBP2,Secretory,602,65768,302,87,69,144,-97.4
GUCD1,Secretory,240,27207,107,33,25,75,-41.7
GUSB,Secretory,651,74732,301,81,67,202,-205.6
GXYLT1,Secretory,440,50567,214,66,43,117,-80.8
HACL1,Secretory,578,63729,303,63,54,158,-25.1
HCK,Secretory,526,59600,234,77,71,144,-275.6
HCN2,Secretory,889,96950,492,110,79,208,-244.1
HDAC11,Secretory,347,39183,177,54,44,72,-72.4
HERPUD1,Secretory,391,43720,191,40,45,115,-216.9
HHAT,Secretory,493,57313,255,46,33,159,178.8
HINT3,Secretory,182,20361,82,28,23,49,-39.5
HLA-A,Secretory,365,40841,161,48,47,109,-182
HLA-C,Secretory,366,40649,161,48,47,110,-195.9
HLA-DQB1,Secretory,261,29991,117,37,29,78,-84.2
HLA-E,Secretory,358,40058,154,49,48,107,-191.8
HLA-F,Secretory,346,39062,157,45,47,97,-185.1
HM13,Secretory,377,41488,217,35,32,93,137.1
HMCN1,Secretory,5635,613390,2626,635,576,1798,-1351.9
HMGCR,Secretory,888,97476,450,98,89,251,73.8
HMOX1,Secretory,288,32819,140,42,35,71,-122.9
HMOX2,Secretory,316,36033,145,46,50,75,-180.6
HOXB7,Secretory,217,24015,93,30,23,71,-167.2
HPSE,Secretory,543,61149,272,74,50,147,-98.1
HRAS,Secretory,189,21298,81,26,29,53,-78.8
HSD17B11,Secretory,300,32936,161,43,25,71,88.4
HSD17B12,Secretory,312,34324,162,41,27,82,33.6
HSD17B13,Secretory,300,33655,152,43,27,78,42
